frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
206,28957.9,8,410,823,,,,,,,9,573,833,,,,,,,8,563,999,,,,,,,,,,,,,,,
207,29035.7,8,418,825,,,,,,,9,581,831,,,,,,,8,575,997,,,,,,,,,,,,,,,
208,29079.5,8,422,826,,,,,,,9,585,830,,,,,,,8,580,996,,,,,,,,,,,,,,,
209,29159.5,8,430,829,,,,,,,8,594,829,,,,,,,8,593,995,,,,,,,,,,,,,,,
210,29203.7,8,434,830,,,,,,,9,598,829,,,,,,,8,599,995,,,,,,,,,,,,,,,
211,29328.1,8,448,836,,,,,,,9,612,830,,,,,,,8,617,997,,,,,,,,,,,,,,,
212,29496.1,8,474,832,,,,,,,8,637,834,,,,,,,8,636,1001,,,,,,,,,,,,,,,
213,29537.1,8,479,831,,,,,,,8,643,834,,,,,,,7,641,1000,,,,,,,,,,,,,,,
214,29659.6,8,496,831,,,,,,,9,660,833,,,,,,,7,658,1000,,,,,,,,,,,,,,,
215,29705.7,8,502,831,,,,,,,9,666,833,,,,,,,7,664,1000,,,,,,,,,,,,,,,
216,29868.3,8,526,834,,,,,,,9,690,835,,,,,,,8,691,1002,,,,,,,,,,,,,,,
217,29916.2,8,532,835,,,,,,,9,696,835,,,,,,,7,697,1001,,,,,,,,,,,,,,,
218,30120.4,8,567,833,,,,,,,9,730,835,,,,,,,7,730,1002,,,,,,,,,,,,,,,
219,30368.6,8,610,834,,,,,,,9,774,836,,,,,,,7,774,1002,,,,,,,,,,,,,,,
220,30415.4,8,617,834,,,,,,,9,782,836,,,,,,,7,782,1002,,,,,,,,,,,,,,,
221,30620.0,7,657,836,,,,,,,9,822,836,,,,,,,7,823,1002,,,,,,,,,,,,,,,
222,30661.9,7,666,835,,,,,,,9,830,836,,,,,,,7,831,1002,,,,,,,,,,,,,,,
223,30705.7,7,675,835,,,,,,,9,840,836,,,,,,,7,840,1002,,,,,,,,,,,,,,,
224,30745.5,8,684,835,,,,,,,9,849,837,,,,,,,7,849,1002,,,,,,,,,,,,,,,
225,31997.2,8,817,837,,,,,,,10,983,838,,,,,,,8,982,1002,,,,,,,,,,,,,,,
226,32581.0,8,828,836,,,,,,,9,993,836,,,,,,,8,993,1000,,,,,,,,,,,,,,,
227,32659.9,8,828,836,,,,,,,9,993,837,,,,,,,8,993,1002,,,,,,,,,,,,,,,
228,32783.6,8,828,838,,,,,,,9,993,838,,,,,,,8,994,1002,,,,,,,,,,,,,,,
229,32911.2,8,828,837,,,,,,,9,994,837,,,,,,,8,996,1000,,,,,,,,,,,,,,,
230,33035.8,8,829,836,,,,,,,9,995,836,,,,,,,8,995,1001,,,,,,,,,,,,,,,
231,33119.3,8,830,836,,,,,,,9,995,838,,,,,,,8,995,1002,,,,,,,,,,,,,,,
232,33284.1,8,830,837,,,,,,,,,,,,,,,,8,996,1002,,,,,,,,,,,,,,,
233,33451.8,8,827,838,,,,,,,,,,,,,,,,8,992,1001,,,,,,,,,,,,,,,
234,33868.7,7,812,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,34200.7,7,788,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,34327.7,5,750,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,34616.7,,,,,,,,,,,,,,,,,,,6,500,505,,,,,,,,,,,,,,,
239,34659.7,,,,,,,,,,,,,,,,,,,6,502,490,,,,,,,,,,,,,,,
240,34699.8,,,,,,,,,,,,,,,,,,,6,505,476,,,,,,,,,,,,,,,
241,34827.7,,,,,,,,,,,,,,,,,,,8,515,449,,,,,,,,,,,,,,,
242,35244.3,,,,,,,,,,8,376,346,,,,,,,6,478,469,,,,,,,,,,,,,,,
243,35285.8,,,,,,,,,,9,379,338,,,,,,,6,464,474,,,,,,,,,,,,,,,
244,35452.5,5,224,332,,,,,,,9,388,329,,,,,,,,,,,,,,,,,,,,,,,,
245,35824.8,8,247,217,,,,,,,7,306,372,,,,,,,,,,,,,,,,,,,,,,,,
246,35951.4,8,250,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,36160.3,8,234,222,,,,,,,9,149,360,,,,,,,9,11,273,,,,,,,,,,,,,,,
248,36209.5,8,238,213,,,,,,,8,158,354,,,,,,,8,16,273,,,,,,,,,,,,,,,
249,36283.4,8,245,197,,,,,,,8,174,343,,,,,,,9,28,270,,,,,,,,,,,,,,,
